feature,gain
aqi_daily,31503321.277191162
pm2_5_mean,19367939.642238617
doy_cos,4405154.646484375
pm25_roll_mean_3,2274222.0529785156
pm10_mean_lag5,867888.1328735352
so2_mean,853579.0763244629
aqi_roll_mean_3,810677.1584777832
nh3_mean,783765.5029373169
wind_v_mean_roll_mean_3,713334.8727722168
pm10_mean,672789.8734283447
temp_max,624172.427192688
clouds_mean,606768.8779754639
temp_mean_lag1,562018.0270996094
wind_u_mean,526866.5855712891
aqi_change_rate,438411.5586242676
no_mean,434463.77154541016
wind_v_mean,434423.0429382324
wind_u_mean_roll_mean_7,428237.10314941406
wind_speed_mean,426138.40967559814
wind_u_mean_roll_std_3,413671.9731750488
humidity_mean,413500.49044799805
aqi_daily_lag6,400725.9515686035
temp_range,383975.48849487305
o3_mean,314544.3501281738
humidity_mean_lag1,280007.6212463379
wind_u_mean_lag3,275192.0990600586
day_of_year,268219.0776672363
aqi_roll_std_3,265947.6504211426
pressure_mean,258364.6690750122
aqi_daily_lag4,227092.0867919922
pm25_roll_std_30,220391.9426574707
pm10_roll_std_30,214234.4140625
no2_mean,211748.15808868408
wind_u_mean_roll_std_7,204957.05078125
pm10_roll_mean_30,202626.26977539062
wind_v_mean_lag3,200270.78198242188
wind_v_mean_roll_std_7,197328.81568527222
pm10_mean_lag4,196703.60034179688
humidity_mean_lag2,193776.64608764648
wind_v_mean_lag2,193148.90188598633
humidity_mean_roll_mean_3,184438.81176757812
humidity_mean_roll_std_7,175562.0400238037
pm10_mean_lag2,166452.89427947998
pm25_roll_mean_7,156863.0994873047
aqi_daily_lag5,152642.18026733398
pm25_roll_std_7,148741.0595703125
pm10_roll_std_14,143112.9901008606
pm10_roll_mean_14,131506.32876586914
pm25_roll_std_14,126375.65991210938
humidity_mean_roll_std_3,125763.69396972656
pm25_roll_std_3,122430.72143554688
o3_8h_max_ppb,115405.06796264648
aqi_roll_std_30,113789.44585323334
pm2_5_mean_lag7,113352.298828125
pm25_roll_mean_30,111389.720703125
wind_u_mean_lag1,101234.71287536621
pm10_roll_std_7,99795.41842651367
pm10_roll_mean_3,99318.41723632812
pm10_mean_lag7,94312.47021484375
aqi_daily_lag3,89656.6799068451
aqi_roll_std_7,88553.12167835236
wind_v_mean_lag1,87632.78024291992
pm10_mean_lag1,87577.68969726562
pm10_roll_std_3,85653.09008789062
aqi_daily_lag7,83602.59765625
aqi_roll_mean_7,82919.9990234375
pm25_roll_mean_14,80123.3486328125
wind_u_mean_lag2,78924.06478881836
aqi_roll_std_14,76277.40689086914
doy_sin,75281.18041992188
wind_u_mean_roll_mean_3,71451.56103515625
week_of_year,70776.90505003929
pm10_mean_lag3,70136.88665771484
pm10_mean_lag6,64862.819496154785
pm10_roll_mean_7,64663.1796875
wind_gust_max,64027.9404296875
temp_mean_roll_mean_7,61427.679443359375
temp_mean_roll_mean_3,60280.947677612305
humidity_mean_roll_mean_7,59323.950439453125
temp_mean_lag2,55611.98913574219
dew_point_mean,54157.171875
co_mean,48570.60192871094
pm2_5_mean_lag4,44282.59100341797
aqi_roll_mean_14,41679.28143310547
temp_mean_lag3,41414.71188354492
wind_speed_max,38602.37034225464
pm2_5_mean_lag3,37588.67041015625
pm2_5_mean_lag2,37568.83056640625
aqi_roll_mean_30,34944.89617919922
aqi_daily_lag2,34659.65393066406
temp_min,30535.55892944336
day_of_week,28312.539306640625
humidity_mean_lag3,26243.477157592773
pm2_5_mean_lag5,26174.73046875
temp_mean_roll_std_7,25324.582496643066
temp_mean,25177.93328857422
pm2_5_mean_lag6,24548.081115722656
aqi_daily_lag1,21291.459716796875
wind_v_mean_roll_std_3,20402.52423095703
temp_mean_roll_std_3,6043.0299072265625
wind_v_mean_roll_mean_7,1525.9159545898438
rain_sum,104.13500213623047
pm2_5_mean_lag1,0.0
month,0.0
is_weekend,0.0
is_complete_day,0.0
visibility_mean,0.0
snow_sum,0.0
imputed,0.0
num_hours,0.0
